start,end,text
880.217,880.857," Oh, thanks."
881.257,881.577,Sweet.
881.737,881.977,Good.
882.657,883.658,So glad you liked it.
885.118,885.898,"Oh, what?"
886.478,887.278,"What, she made the tea?"
889.959,892.399,"No, I think I just had a contraction."
892.579,892.959,You what?
893.239,893.719,"Oh, my God."
893.819,898.24,"Yeah, I thought I felt one a couple minutes ago, and now I know that definitely was one."
898.52,899.34,"Oh, wait."
899.38,900.321,You can't have the baby here.
900.341,902.541,"I mean, I haven't sterilized the apartment since the guys moved out."
902.561,902.601,OK.
902.641,903.661,It's OK.
903.701,904.401,We're going to be OK.
904.421,905.141,We're going to be OK.
905.221,905.581,It's OK.
905.662,907.962,I'm going to boil some water and just rip up some sheets.
909.913,910.133, Ow.
910.773,911.293,It's all right.
911.313,912.454,It's probably false labor.
912.474,914.294,They said that that could happen near the end.
914.354,915.934,So just somebody get the book.
916.154,916.874,"Rachel, get the book."
916.914,917.354,The book.
917.394,917.714,Okay.
918.135,918.415,Okay.
919.355,919.615,Here.
920.955,921.635,The Bible?
921.655,922.015,I don't know.
922.035,929.137,All right.
929.197,929.477,Okay.
929.617,929.797,Okay.
929.837,930.277,This is great.
931.257,932.477,"Chandler, you get behind the desk."
933.317,937.098,"And when she comes in, hopefully she won't recognize it because... Well, why would she?"
938.749,944.253," Okay, and then, uh, you buzz Ross and I, and you be, uh, Mr. Gonzalez, and I'll be Mr. Wong."
946.814,949.016,Diverse.
949.896,951.858,Anybody call for security?
953.739,955.74,You be cool.
961.264,961.984,Okay.
962.305,964.086,Which one of you guys is Gunther Central for?
966.676,967.236," Hey, Joey."
967.576,968.337,Where's my ring?
968.377,969.857,My dead grandma's wedding ring.
969.877,970.257,Where is it?
970.297,970.797,Where is it?
971.257,974.038,"Way to be cool, man."
976.439,977.359,What's he talking about?
978.1,980.58,There was a ring in a box on my nightstand.
980.86,982.041,"After you left, it was gone."
982.061,982.841,Wait a minute.
982.861,984.541,You guys think I stole some ring?
984.561,985.402,Yeah.
987.282,990.423,"We know you took it, so just save yourself the time and confess."
990.703,990.963,OK.
991.163,991.544,Who were you?
991.564,992.384,The Hardy Boys?
996.26,998.382," Look, I don't need to steal some stupid ring, all right?"
998.422,1000.804,"I make $1,600 a week doing what I do."
1001.344,1002.305,Any of you guys make that?
1004.307,1004.687,Marry me.
1009.311,1009.811,Don't get it.
1009.831,1011.612,We's in my room all night.
1012.133,1016.036,"If she didn't take it, and I didn't take it, and you didn't take it, then who did?"
1016.056,1019.699,We're trying to think.
1034.735,1037.357, We still don't get how you know when it's false labor.
1037.697,1038.998,"Well, do you see any babies?"
1041.481,1042.121,How do you feel?
1042.461,1043.382,"OK, I guess."
1043.502,1046.264,"I mean, I don't know."
1047.465,1049.787,"I guess I know it's going to be over soon, so."
1050.868,1052.289,But isn't that a good thing?
1052.409,1054.932,"I mean, you said you were sick of this."
1056.393,1056.713,I know.
1056.733,1062.478,"It's just, you know, usually when you're done with the pregnant thing, then you get to do the mom thing."
1064.344,1068.626," I'm gonna be, you know, sitting around in my leather pants drinking tequila."
1071.728,1072.688,Some moms do that.
1074.929,1075.83,"Yeah, that's even sadder."
1077.751,1080.952,"Look, I know what I got myself into, you know."
1080.972,1088.136,"It's just that now that they're in me, it's like, it's like I know them, you know."
1091.215,1094.457," It's just not gonna be easy when, you know, these little babies have to go away."
1095.958,1096.799,"I know, sweetie."
1098.04,1099.721,But it's not like you're not gonna have anything.
1099.741,1101.843,"I mean, you're gonna have nieces and nephews."
1102.523,1103.684,"In some ways, that's even better."
1104.525,1105.085,"Yeah, okay."
1105.565,1106.426,"No, really."
1106.446,1107.947,Really.
1107.987,1118.114,"I mean, you're not gonna be the one worrying about saving for college or yelling at them when they're bad, you know, or deciding to put them on Reddlin' when they just won't calm down."
1120.814,1125.655, You're going to be the one that they come to when they want to run away from home and the one they talk to about sex.
1126.015,1128.175,You just get to be cool Aunt Phoebe.
1130.676,1131.896,Cool Aunt Phoebe.
1133.476,1134.276,I am pretty cool.
1134.696,1134.836,Oh.
1136.357,1137.337,"Yeah, and you know what else?"
1137.897,1140.337,"Oh my God, are they going to love you?"
1141.738,1142.638,They are going to love me.
1142.858,1142.998,Oh.
1145.138,1145.918,"Thanks, you guys."
1146.398,1146.939,"Aw, honey."
1147.019,1147.419,Again?
1148.179,1148.959,"Aw, sweetie."
1151.277,1152.778," Oh, thanks."
1152.898,1153.538,"Oh, what?"
1153.798,1154.179,"Oh, God."
1154.399,1154.879,Just kidding.
1155.119,1157.58,"Ah, what?"
1157.66,1158.3,"Oh, my God."
1158.36,1159.141,"Oh, gotcha again."
1159.181,1161.461,You're so easy.
1164.503,1165.643,If anything should happen to him.
1165.683,1168.524,"Joey, the vet said it's a simple procedure."
1168.884,1169.184,So?
1169.445,1170.325,Things could go wrong.
1170.465,1170.965,You don't know.
1170.985,1172.626,"Well, what if he doesn't make it?"
1172.706,1173.506,"He will, Joe."
1173.526,1174.847,"Yeah, but what if he doesn't?"
1174.867,1177.808,He's such a good duck.
1217.654,1220.397," I'm so worried about him, you know?"
1220.677,1221.418,Somebody lose a ring?
1221.678,1221.838,Hey!
1222.198,1222.339,Oh!
1222.999,1223.8,Oh my God!
1224.401,1224.881,Thank you!
1224.941,1225.922,Thank you so much!
1230.525,1231.146, How's the doctor?
1231.166,1231.986,He's doing just fine.
1232.026,1233.748,"He's resting now, but you can see him in a little bit."
1233.928,1234.849,"Oh, great."
1235.529,1238.231,"Hey, listen, Ross, thanks for being so cool about this."
1238.391,1239.132,"No, that's all right."
1239.272,1240.113,"No, it's not."
1240.213,1243.855,"I mean, you made me your best man, and I totally let you down."
1243.875,1244.696,"Hey, come on."
1244.736,1245.477,It's not your fault.
1245.557,1246.177,"Yeah, it is."
1246.597,1248.439,"You wouldn't have lost the ring, right?"
1249.059,1249.58,You know what?
1250.801,1251.961,"Ross, you were right from the start."
1252.001,1253.022,He should be your best man.
1253.122,1254.163,"No, you should."
1254.223,1255.244,"Look, don't argue with me."
1255.344,1256.004,"Hey, hey, hey."
1256.365,1257.746,I get to choose my best man.
1259.884,1260.985, I want both of you guys.
1263.267,1263.767,Really?
1263.827,1264.148,Really?
1264.168,1267.911,"I mean, both of you guys should be up there with me."
1267.931,1278.079,"I mean, you two are like... I mean, I'm lucky to have just one good... Okay, thanks, man."
1280.922,1282.223,"I gotta go check something, okay?"
1288.404,1288.924, What a baby.
1289.064,1289.665,Total worse.
1310.25,1310.37, Ah!
